Date,Close,High,Low,Open
2020-07-13 14:00:00+00:00,30.95,30.96,30.67,30.72
2020-07-13 15:00:00+00:00,30.84,30.975,30.68,30.95
2020-07-13 16:00:00+00:00,30.76,30.88,30.69,30.835
2020-07-13 17:00:00+00:00,30.76,30.86,30.705,30.76
2020-07-13 18:00:00+00:00,30.57,30.77,30.485,30.75
2020-07-13 19:00:00+00:00,29.985,30.58,29.915,30.57
2020-07-14 14:00:00+00:00,29.775,29.98,29.61,29.96
2020-07-14 15:00:00+00:00,30.11,30.22,29.725,29.775
2020-07-14 16:00:00+00:00,30.305,30.38,30.09,30.12
2020-07-14 17:00:00+00:00,30.635,30.73,30.2,30.31
2020-07-14 18:00:00+00:00,30.855,30.87,30.585,30.635
2020-07-14 19:00:00+00:00,30.775,30.875,30.7,30.86
2020-07-15 14:00:00+00:00,31.17,31.23,30.75,30.885
2020-07-15 15:00:00+00:00,30.84,31.195,30.82,31.17
2020-07-15 16:00:00+00:00,30.845,30.93,30.645,30.84
2020-07-15 17:00:00+00:00,30.895,30.96,30.805,30.845
2020-07-15 18:00:00+00:00,30.885,31.075,30.86,30.9
2020-07-15 19:00:00+00:00,31.0,31.125,30.8,30.87
2020-07-16 14:00:00+00:00,30.825,31.02,30.66,30.94
2020-07-16 15:00:00+00:00,30.845,30.97,30.715,30.825
2020-07-16 16:00:00+00:00,30.875,30.99,30.785,30.84
2020-07-16 17:00:00+00:00,30.9,30.935,30.745,30.87
2020-07-16 18:00:00+00:00,30.87,31.05,30.84,30.895
2020-07-16 19:00:00+00:00,30.91,30.94,30.755,30.87
2020-07-17 14:00:00+00:00,31.315,31.34,31.095,31.295
2020-07-17 15:00:00+00:00,31.38,31.46,31.27,31.315
2020-07-17 16:00:00+00:00,31.345,31.475,31.315,31.39
2020-07-17 17:00:00+00:00,31.235,31.345,31.235,31.345
2020-07-17 18:00:00+00:00,31.235,31.285,31.165,31.235
2020-07-17 19:00:00+00:00,31.34,31.35,31.2,31.235
2020-07-20 14:00:00+00:00,31.705,31.79,31.31,31.375
2020-07-20 15:00:00+00:00,31.885,31.915,31.64,31.705
2020-07-20 16:00:00+00:00,31.91,31.97,31.83,31.885
2020-07-20 17:00:00+00:00,32.015,32.05,31.795,31.91
2020-07-20 18:00:00+00:00,32.005,32.07,31.945,32.015
2020-07-20 19:00:00+00:00,32.015,32.085,31.93,32.005
2020-07-21 14:00:00+00:00,32.72,32.89,32.505,32.85
2020-07-21 15:00:00+00:00,32.865,32.965,32.625,32.72
2020-07-21 16:00:00+00:00,32.88,32.98,32.715,32.865
2020-07-21 17:00:00+00:00,32.965,32.985,32.775,32.88
2020-07-21 18:00:00+00:00,33.125,33.14,32.915,32.965
2020-07-21 19:00:00+00:00,32.72,33.17,32.65,33.115
2020-07-22 14:00:00+00:00,33.55,33.72,33.405,33.635
2020-07-22 15:00:00+00:00,33.455,33.565,33.3,33.55
2020-07-22 16:00:00+00:00,33.515,33.55,33.38,33.465
2020-07-22 17:00:00+00:00,33.125,33.52,33.055,33.49
2020-07-22 18:00:00+00:00,33.535,33.54,33.105,33.125
2020-07-22 19:00:00+00:00,33.505,33.56,33.31,33.535
2020-07-23 14:00:00+00:00,32.915,33.245,32.775,33.24
2020-07-23 15:00:00+00:00,33.225,33.27,32.86,32.92
2020-07-23 16:00:00+00:00,32.88,33.26,32.86,33.225
2020-07-23 17:00:00+00:00,32.625,32.98,32.585,32.87
2020-07-23 18:00:00+00:00,32.395,32.655,32.235,32.615
2020-07-23 19:00:00+00:00,32.205,32.42,32.09,32.395
2020-07-24 14:00:00+00:00,32.385,32.535,31.73,31.77
2020-07-24 15:00:00+00:00,32.295,32.46,32.16,32.395
2020-07-24 16:00:00+00:00,32.17,32.33,32.08,32.29
2020-07-24 17:00:00+00:00,32.56,32.565,31.955,32.185
2020-07-24 18:00:00+00:00,32.275,32.63,32.19,32.56
2020-07-24 19:00:00+00:00,32.3,32.365,32.105,32.28
2020-07-27 14:00:00+00:00,33.165,33.245,32.675,32.725
2020-07-27 15:00:00+00:00,32.965,33.23,32.925,33.165
2020-07-27 16:00:00+00:00,33.04,33.19,32.91,32.97
2020-07-27 17:00:00+00:00,33.14,33.24,32.98,33.04
2020-07-27 18:00:00+00:00,33.16,33.3,33.08,33.14
2020-07-27 19:00:00+00:00,33.29,33.3,33.09,33.145
2020-07-28 14:00:00+00:00,33.1,33.21,32.88,32.96
2020-07-28 15:00:00+00:00,33.075,33.155,32.94,33.105
2020-07-28 16:00:00+00:00,33.17,33.21,33.045,33.09
2020-07-28 17:00:00+00:00,33.235,33.26,33.08,33.16
2020-07-28 18:00:00+00:00,33.385,33.45,33.2,33.235
2020-07-28 19:00:00+00:00,33.085,33.425,33.065,33.385
2020-07-29 14:00:00+00:00,33.48,33.715,33.42,33.615
2020-07-29 15:00:00+00:00,33.505,33.53,33.4,33.48
2020-07-29 16:00:00+00:00,33.32,33.55,33.29,33.515
2020-07-29 17:00:00+00:00,33.495,33.53,33.22,33.325
2020-07-29 18:00:00+00:00,33.415,33.73,33.385,33.505
2020-07-29 19:00:00+00:00,33.485,33.53,33.31,33.4
2020-07-30 14:00:00+00:00,33.005,33.16,32.78,33.09
2020-07-30 15:00:00+00:00,33.165,33.175,32.935,33.005
2020-07-30 16:00:00+00:00,33.35,33.45,33.16,33.175
2020-07-30 17:00:00+00:00,33.395,33.535,33.29,33.35
2020-07-30 18:00:00+00:00,33.415,33.475,33.34,33.39
2020-07-30 19:00:00+00:00,33.375,33.49,33.345,33.415
2020-07-31 14:00:00+00:00,32.73,32.79,32.575,32.75
2020-07-31 15:00:00+00:00,32.68,32.95,32.61,32.73
2020-07-31 16:00:00+00:00,32.51,32.69,32.46,32.66
2020-07-31 17:00:00+00:00,32.425,32.715,32.42,32.51
2020-07-31 18:00:00+00:00,32.495,32.515,32.305,32.425
2020-07-31 19:00:00+00:00,32.505,32.555,32.35,32.495
2020-08-03 14:00:00+00:00,31.715,32.05,31.62,31.64
2020-08-03 15:00:00+00:00,31.775,31.895,31.605,31.725
2020-08-03 16:00:00+00:00,32.005,32.085,31.735,31.78
2020-08-03 17:00:00+00:00,31.985,32.1,31.855,32.005
2020-08-03 18:00:00+00:00,31.9,32.095,31.895,31.99
2020-08-03 19:00:00+00:00,31.865,31.945,31.54,31.9
2020-08-04 14:00:00+00:00,31.52,31.795,31.505,31.695
2020-08-04 15:00:00+00:00,30.915,31.58,30.81,31.52
2020-08-04 16:00:00+00:00,31.225,31.255,30.82,30.915
2020-08-04 17:00:00+00:00,31.245,31.39,31.075,31.23
2020-08-04 18:00:00+00:00,31.335,31.38,30.995,31.245
2020-08-04 19:00:00+00:00,31.49,31.55,31.23,31.34
2020-08-05 14:00:00+00:00,32.265,32.37,32.09,32.29
2020-08-05 15:00:00+00:00,31.805,32.295,31.73,32.27
2020-08-05 16:00:00+00:00,31.885,31.975,31.795,31.8
2020-08-05 17:00:00+00:00,31.69,31.9,31.53,31.885
2020-08-05 18:00:00+00:00,31.94,31.94,31.69,31.69
2020-08-05 19:00:00+00:00,31.91,32.045,31.75,31.94
2020-08-06 14:00:00+00:00,31.855,32.065,31.685,31.835
2020-08-06 15:00:00+00:00,32.065,32.085,31.72,31.855
2020-08-06 16:00:00+00:00,32.11,32.165,32.005,32.065
2020-08-06 17:00:00+00:00,31.84,32.175,31.815,32.11
2020-08-06 18:00:00+00:00,31.985,32.005,31.765,31.84
2020-08-06 19:00:00+00:00,32.03,32.04,31.82,31.985
2020-08-07 14:00:00+00:00,31.16,31.295,31.025,31.205
2020-08-07 15:00:00+00:00,31.11,31.305,31.08,31.145
2020-08-07 16:00:00+00:00,31.18,31.24,31.07,31.11
2020-08-07 17:00:00+00:00,31.29,31.675,31.005,31.195
2020-08-07 18:00:00+00:00,31.035,31.335,30.89,31.29
2020-08-07 19:00:00+00:00,31.255,31.295,30.995,31.035
2020-08-10 14:00:00+00:00,31.025,31.505,31.015,31.445
2020-08-10 15:00:00+00:00,30.73,31.2,30.69,31.025
2020-08-10 16:00:00+00:00,30.955,31.0,30.725,30.73
2020-08-10 17:00:00+00:00,31.07,31.21,30.87,30.975
2020-08-10 18:00:00+00:00,31.215,31.33,31.02,31.07
2020-08-10 19:00:00+00:00,31.165,31.235,31.065,31.215
2020-08-11 14:00:00+00:00,31.535,31.595,31.265,31.31
2020-08-11 15:00:00+00:00,31.345,31.61,31.33,31.545
2020-08-11 16:00:00+00:00,31.58,31.625,31.315,31.345
2020-08-11 17:00:00+00:00,31.625,31.705,31.475,31.58
2020-08-11 18:00:00+00:00,31.455,31.725,31.425,31.625
2020-08-11 19:00:00+00:00,30.995,31.465,30.945,31.46
